subjID,itrial,CasesName,filename,Lesion,MouseScreenX,MouseScreenY,ImageMouseX_X_521_,ImageMouseY,NotOnTissue,Accuracy,OldTrialType,NewTrialType
23,19,c9,19_c9_C.jpg,1,1330,790,809,790,0,1,HIT,HIT
23,20,n27,20_n27_N.jpg,0,1223,866,702,866,0,0,FA,FA
23,21,n174,21_n174_N.jpg,0,1222,545,701,545,0,0,FA,FA
23,22,c39,22_c39_C.jpg,1,1148,312,627,312,0,1,HIT,MISS&FA
23,23,c310,23_c310_C.jpg,1,NaN,NaN,NaN,NaN,0,0,MISS,MISS
23,24,c255,24_c255_C.jpg,1,1005,771,484,771,0,1,HIT,HIT
23,25,c239,25_c239_C.jpg,1,1214,878,693,878,0,1,HIT,HIT
23,26,n349,26_n349_N.jpg,0,1175,418,654,418,0,0,FA,FA
23,27,n114,27_n114_N.jpg,0,1286,828,765,828,0,0,FA,FA
23,28,c148,28_c148_C.jpg,1,1229,384,708,384,0,1,HIT,HIT
23,29,c437,29_c437_C.jpg,1,1088,726,567,726,0,1,HIT,MISS&FA
23,30,c196,30_c196_C.jpg,1,1002,692,481,692,0,1,HIT,HIT
23,31,c138,31_c138_C.jpg,1,1149,806,628,806,0,1,HIT,MISS&FA
23,32,c304,32_c304_C.jpg,1,1233,502,712,502,0,1,HIT,HIT
23,33,n173,33_n173_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
23,34,c23,34_c23_C.jpg,1,918,676,397,676,0,1,HIT,MISS&FA
23,35,c284,35_c284_C.jpg,1,1137,687,616,687,0,1,HIT,MISS&FA
23,36,n28,36_n28_N.jpg,0,890,720,369,720,0,0,FA,FA
23,37,c116,37_c116_C.jpg,1,1084,650,563,650,0,1,HIT,MISS&FA
23,38,c384,38_c384_C.jpg,1,1113,861,592,861,0,1,HIT,HIT
23,39,n264,39_n264_N.jpg,0,1110,736,589,736,0,0,FA,FA
23,40,c4,40_c4_C.jpg,1,1161,802,640,802,0,1,HIT,MISS&FA
23,41,c27,41_c27_C.jpg,1,1040,425,519,425,0,1,HIT,MISS&FA
23,42,c368,42_c368_C.jpg,1,1134,594,613,594,0,1,HIT,HIT
23,43,c186,43_c186_C.jpg,1,1223,516,702,516,0,1,HIT,HIT
23,44,c143,44_c143_C.jpg,1,1082,409,561,409,0,1,HIT,MISS&FA
23,45,c43,45_c43_C.jpg,1,1049,552,528,552,0,1,HIT,MISS&FA
23,46,c129,46_c129_C.jpg,1,1178,512,657,512,0,1,HIT,HIT
23,47,c182,47_c182_C.jpg,1,1277,747,756,747,0,1,HIT,HIT
23,48,c154,48_c154_C.jpg,1,1030,711,509,711,0,1,HIT,HIT
23,49,c260,49_c260_C.jpg,1,1075,777,554,777,0,1,HIT,HIT
23,50,c378,50_c378_C.jpg,1,1293,436,772,436,0,1,HIT,HIT
23,51,c41,51_c41_C.jpg,1,1052,384,531,384,0,1,HIT,HIT
23,52,n53,52_n53_N.jpg,0,NaN,NaN,NaN,NaN,0,1,TNEG,TNEG
